2024-03-19 15:57:55.012 | INPUT  | DEBUG    | list 
2024-03-19 15:57:55.130 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.132 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.134 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.136 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.138 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.141 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.143 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.146 | OUTPUT | INFO     | ISSUE_CMD: poll_and_receive_packet 
2024-03-19 15:57:55.172 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.173 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.175 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.177 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.180 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.182 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.184 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.309 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:55.312 | OUTPUT | DEBUG    | Address: 0x24 
2024-03-19 15:57:55.313 | OUTPUT | DEBUG    | Packet size: 4 
2024-03-19 15:57:55.316 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:55.318 | OUTPUT | DEBUG    | ca7d0ebe 
2024-03-19 15:57:55.320 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:55.324 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:55.325 | OUTPUT | DEBUG    | ca7d0ebe 
2024-03-19 15:57:55.327 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.331 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:55.334 | OUTPUT | DEBUG    | Component Address: 0x24 
2024-03-19 15:57:55.336 | OUTPUT | DEBUG    | Length: 4 
2024-03-19 15:57:55.340 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.341 | OUTPUT | DEBUG    | value: 4 
2024-03-19 15:57:55.343 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.345 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.348 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.349 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.351 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.353 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.356 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.360 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.361 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.363 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.365 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.367 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.370 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.372 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.374 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.377 | OUTPUT | INFO     | ISSUE_CMD: poll_and_receive_packet 
2024-03-19 15:57:55.450 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.452 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.454 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.456 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.458 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.460 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.462 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.511 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:55.513 | OUTPUT | DEBUG    | Address: 0x25 
2024-03-19 15:57:55.515 | OUTPUT | DEBUG    | Packet size: 33 
2024-03-19 15:57:55.518 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:55.526 | OUTPUT | DEBUG    | 0680312a5047ce7c145d3ae8034737e46d638a0c596d26fee7e91edcd76cfde957 
2024-03-19 15:57:55.528 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:55.532 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:55.540 | OUTPUT | DEBUG    | 0680312a5047ce7c145d3ae8034737e46d638a0c596d26fee7e91edcd76cfde957 
2024-03-19 15:57:55.542 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.546 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:55.549 | OUTPUT | DEBUG    | Component Address: 0x25 
2024-03-19 15:57:55.550 | OUTPUT | DEBUG    | Length: 33 
2024-03-19 15:57:55.554 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.557 | OUTPUT | DEBUG    | value: 33 
2024-03-19 15:57:55.558 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.560 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.563 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.564 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.567 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.569 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.573 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.577 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.580 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.581 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.583 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.585 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.587 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.589 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.591 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.595 | OUTPUT | INFO     | ISSUE_CMD: poll_and_receive_packet 
2024-03-19 15:57:55.620 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.621 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.623 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.625 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.627 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.630 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.632 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.757 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:55.759 | OUTPUT | DEBUG    | Address: 0x25 
2024-03-19 15:57:55.761 | OUTPUT | DEBUG    | Packet size: 4 
2024-03-19 15:57:55.764 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:55.766 | OUTPUT | DEBUG    | be84aff3 
2024-03-19 15:57:55.768 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:55.772 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:55.773 | OUTPUT | DEBUG    | be84aff3 
2024-03-19 15:57:55.775 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.779 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:55.782 | OUTPUT | DEBUG    | Component Address: 0x25 
2024-03-19 15:57:55.784 | OUTPUT | DEBUG    | Length: 4 
2024-03-19 15:57:55.788 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.789 | OUTPUT | DEBUG    | value: 4 
2024-03-19 15:57:55.791 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.793 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.795 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.797 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.799 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.801 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.804 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.808 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.809 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.811 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.813 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.815 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.817 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.820 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.822 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.825 | OUTPUT | INFO     | ISSUE_CMD: poll_and_receive_packet 
2024-03-19 15:57:55.898 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.900 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.902 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.904 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.906 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.908 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.910 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.914 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:55.915 | OUTPUT | DEBUG    | Address: 0x24 
2024-03-19 15:57:55.918 | OUTPUT | DEBUG    | Packet size: 21 
2024-03-19 15:57:55.920 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:55.926 | OUTPUT | DEBUG    | 0290fc69e40ec180b5e948eaf63cb6cc71f3c1b821 
2024-03-19 15:57:55.928 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:55.931 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:55.937 | OUTPUT | DEBUG    | 0290fc69e40ec180b5e948eaf63cb6cc71f3c1b821 
2024-03-19 15:57:55.939 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.943 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:55.946 | OUTPUT | DEBUG    | Component Address: 0x24 
2024-03-19 15:57:55.947 | OUTPUT | DEBUG    | Length: 21 
2024-03-19 15:57:55.951 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.953 | OUTPUT | DEBUG    | value: 21 
2024-03-19 15:57:55.955 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.957 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.959 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.961 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.963 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.965 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.969 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.973 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.975 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:55.977 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.979 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.981 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.983 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.985 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.987 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.991 | OUTPUT | INFO     | ISSUE_CMD: poll_and_receive_packet 
2024-03-19 15:57:55.998 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.999 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:56.001 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.003 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.005 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.008 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.010 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.013 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:56.015 | OUTPUT | DEBUG    | Address: 0x25 
2024-03-19 15:57:56.017 | OUTPUT | DEBUG    | Packet size: 21 
2024-03-19 15:57:56.020 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:56.025 | OUTPUT | DEBUG    | 0290fc69e40ec180b5e948eaf63cb6cc7105962a0a 
2024-03-19 15:57:56.028 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:56.031 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:56.036 | OUTPUT | DEBUG    | 0290fc69e40ec180b5e948eaf63cb6cc7105962a0a 
2024-03-19 15:57:56.038 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.042 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:56.045 | OUTPUT | DEBUG    | Component Address: 0x25 
2024-03-19 15:57:56.047 | OUTPUT | DEBUG    | Length: 21 
2024-03-19 15:57:56.051 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:56.052 | OUTPUT | DEBUG    | value: 21 
2024-03-19 15:57:56.054 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.057 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.058 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.061 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.063 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.065 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.069 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.073 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:56.074 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:56.076 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.078 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.080 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.082 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.084 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.086 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.091 | OUTPUT | INFO     | ISSUE_CMD: poll_and_receive_packet 
2024-03-19 15:57:56.097 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:56.099 | OUTPUT | DEBUG    | value: 1 
2024-03-19 15:57:56.101 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.103 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.105 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.107 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.109 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.111 | OUTPUT | INFO     | P>0x11111124 
2024-03-19 15:57:56.113 | OUTPUT | INFO     | P>0x11111125 
2024-03-19 15:57:56.117 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:56.118 | OUTPUT | DEBUG    | Address: 0x8 
2024-03-19 15:57:56.120 | OUTPUT | DEBUG    | Packet size: 21 
2024-03-19 15:57:56.123 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:56.128 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc71a939b43b 
2024-03-19 15:57:56.131 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:56.134 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:56.139 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc71a939b43b 
2024-03-19 15:57:56.141 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.145 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:56.148 | OUTPUT | DEBUG    | Component Address: 0x8 
2024-03-19 15:57:56.150 | OUTPUT | DEBUG    | Length: 21 
2024-03-19 15:57:56.154 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:56.155 | OUTPUT | DEBUG    | value: 21 
2024-03-19 15:57:56.157 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.159 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.161 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.163 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.165 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.169 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:56.171 | OUTPUT | DEBUG    | Address: 0x9 
2024-03-19 15:57:56.173 | OUTPUT | DEBUG    | Packet size: 21 
2024-03-19 15:57:56.176 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:56.181 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc71f3c1d4ed 
2024-03-19 15:57:56.184 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:56.187 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:56.192 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc71f3c1d4ed 
2024-03-19 15:57:56.195 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.198 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:56.201 | OUTPUT | DEBUG    | Component Address: 0x9 
2024-03-19 15:57:56.202 | OUTPUT | DEBUG    | Length: 21 
2024-03-19 15:57:56.207 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:56.208 | OUTPUT | DEBUG    | value: 21 
2024-03-19 15:57:56.210 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.213 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.214 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.216 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.218 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.222 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:56.223 | OUTPUT | DEBUG    | Address: 0xa 
2024-03-19 15:57:56.226 | OUTPUT | DEBUG    | Packet size: 21 
2024-03-19 15:57:56.228 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:56.234 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc71485b71ec 
2024-03-19 15:57:56.237 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:56.239 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:56.250 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc71485b71ec 
2024-03-19 15:57:56.251 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.254 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:56.255 | OUTPUT | DEBUG    | Component Address: 0xa 
2024-03-19 15:57:56.256 | OUTPUT | DEBUG    | Length: 21 
2024-03-19 15:57:56.260 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:56.261 | OUTPUT | DEBUG    | value: 21 
2024-03-19 15:57:56.263 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.266 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.267 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.277 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.280 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.283 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:56.284 | OUTPUT | DEBUG    | Address: 0xb 
2024-03-19 15:57:56.285 | OUTPUT | DEBUG    | Packet size: 21 
2024-03-19 15:57:56.286 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:56.290 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc714bfbf4c0 
2024-03-19 15:57:56.291 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:56.292 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:56.297 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc714bfbf4c0 
2024-03-19 15:57:56.300 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.303 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:56.306 | OUTPUT | DEBUG    | Component Address: 0xb 
2024-03-19 15:57:56.309 | OUTPUT | DEBUG    | Length: 21 
2024-03-19 15:57:56.314 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:56.315 | OUTPUT | DEBUG    | value: 21 
2024-03-19 15:57:56.315 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.317 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.319 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.321 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.323 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.327 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:56.329 | OUTPUT | DEBUG    | Address: 0xc 
2024-03-19 15:57:56.331 | OUTPUT | DEBUG    | Packet size: 21 
2024-03-19 15:57:56.334 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:56.349 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc71cb56354e 
2024-03-19 15:57:56.351 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:56.352 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:56.355 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc71cb56354e 
2024-03-19 15:57:56.356 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.360 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:56.361 | OUTPUT | DEBUG    | Component Address: 0xc 
2024-03-19 15:57:56.362 | OUTPUT | DEBUG    | Length: 21 
2024-03-19 15:57:56.365 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:56.366 | OUTPUT | DEBUG    | value: 21 
2024-03-19 15:57:56.368 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:56.372 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:56.374 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:56.377 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:56.406 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:56.442 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:56.442 | OUTPUT | DEBUG    | Address: 0xd 
2024-03-19 15:57:56.443 | OUTPUT | DEBUG    | Packet size: 21 
2024-03-19 15:57:56.446 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:56.448 | OUTPUT | DEBUG    | 0190fc69e40ec180b5e948eaf63cb6cc719f482741 
